name,price,link
"МП  640203  Створка двери Z-образная  Ral 8017  L= 6,5 м.п.",420 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-640203-stvorka-dveri-z-obraznaya-ral-8017-l-6-5-m-p/
"МП  640202  Створка двери Т-образная  Ral 8017  L= 6,5 м.п. ",422.50 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-640202-stvorka-dveri-t-obraznaya-ral-8017-l-6-5-m-p-/
"МП  640201 Рама двери ""в проем""  Ral 8017  L= 6,5 м.п.",395 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-640201-rama-dveri-v-proem-ral-8017-l-6-5-m-p/
МП  64047  Профиль соединителя для рам 40/40 мм.  (двутавр)  Ral 8017  L= 6 м.п.,159.30 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64047-profil-soedinitelya-dlya-ram-40-40-mm-dvutavr-ral-8017-l-6-m-p/
45.08.05-01  (аналог W45.08.09)  Штучная закладная для обжима под 45гр.  L= 30 мм.,82.07 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/45-08-05-01-analog-w45-08-09-shtuchnaya-zakladnaya-dlya-obzhima-pod-45gr-l-30-mm/
"45.08.05-01  (аналог W45.08.09)  Штучная закладная под обжим  L= 29,7 мм.",82.07 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/45-08-05-01-analog-w45-08-09-shtuchnaya-zakladnaya-pod-obzhim-l-29-7-mm/
МП  64078  Закладная опоры  L=80 мм,75.06 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64078-zakladnaya-opory-l-80-mm/
МП  64043-02  Створка распашная  ППП  L= 6 м.п. ,499.50 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64043-02-stvorka-raspashnaya-ppp-l-6-m-p-/
МП  64074  Профиль штапика для зап. 24 мм  Ral 8017  L= 6 м.п. (10хл./уп.) ,122.85 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64074-profil-shtapika-dlya-zap-24-mm-ral-8017-l-6-m-p-10khl-up-/
МП  3013  Ламель вентиляционной решетки  ППП  L= 6 м.п.,244.35 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-3013-lamel-ventilyatsionnoy-reshetki-ppp-l-6-m-p/
